species,longitude,latitude
Schinus molle,-59.133347,-34.546535
Schinus molle,-64.359089,-33.135352
Schinus molle,-64.257662,-31.255409
Schinus molle,-62.327607,-38.681332
Schinus molle,-57.933683,-34.910264
Schinus molle,-58.103795,-31.425696
Schinus molle,-68.706497,-33.317959
Schinus molle,-58.973354,-34.306481
Schinus molle,-64.616095,-31.350669
Schinus molle,-57.56595,-38.07563
Schinus molle,-60.454598,-31.759695
Schinus molle,-58.652428,-33.102485
Schinus molle,-58.983508,-27.389601
Schinus molle,-63.255278,-32.416111
Schinus molle,-67.151467,-38.153178
Schinus molle,-58.550568,-32.98772
Schinus molle,-62.721367,-31.872298
Schinus molle,-60.288373,-38.405876
Schinus molle,-68.915275,-32.613115
Schinus molle,-60.315172,-31.784503
Schinus molle,-60.546521,-31.713785
Schinus molle,-58.453154,-34.935513
Schinus molle,-56.812908,-29.4643
Solanum pseudocapsicum,-59.8426934,-33.6592973
Solanum pseudocapsicum,-58.6458009722,-34.1463219722
Solanum pseudocapsicum,-58.7322612575,-33.4929936343
Solanum pseudocapsicum,-59.6628665552,-33.6757814114
Solanum pseudocapsicum,-59.7600295,-34.803638
Solanum pseudocapsicum,-58.1205749139,-34.7512979157
Solanum pseudocapsicum,-62.9658090028,-35.0676270446
Solanum pseudocapsicum,-58.017896291,-34.9573902256
Solanum pseudocapsicum,-57.8387478366,-34.8556902924
Solanum pseudocapsicum,-57.8531918675,-34.471225427
Solanum pseudocapsicum,-60.7925598167,-34.7265469175
Solanum pseudocapsicum,-60.0045531616,-33.4850683496
Solanum pseudocapsicum,-58.8962332159,-35.1134296897
Solanum pseudocapsicum,-57.3319666667,-34.3355533333
Solanum pseudocapsicum,-57.9854210839,-34.276431414
Solanum pseudocapsicum,-61.9355215319,-33.7012290582
Solanum pseudocapsicum,-59.9283272972,-35.0838138028
Solanum pseudocapsicum,-59.5323739722,-33.8348099722
Solanum pseudocapsicum,-58.6084194444,-34.6290722222
Solanum pseudocapsicum,-57.529225,-33.71175
Solanum pseudocapsicum,-58.5074885,-34.4483274997
Solanum pseudocapsicum,-58.892108,-33.888162
Solanum pseudocapsicum,-58.6861049722,-34.5136529722
Solanum pseudocapsicum,-61.031344263,-34.6547009296
Solanum pseudocapsicum,-60.2928715199,-36.8971700705
Solanum pseudocapsicum,-56.57828081,-33.82939549
Solanum pseudocapsicum,-58.2535445,-34.1854052
Solanum pseudocapsicum,-57.8602232197,-35.5741645523
Solanum pseudocapsicum,-62.678545375,-34.2841633268
Solanum pseudocapsicum,-58.7643580511,-34.3127969948
Solanum pseudocapsicum,-58.6539580903,-34.2412707139
Solanum pseudocapsicum,-58.1055241172,-33.3541136189
Solanum pseudocapsicum,-56.3990883333,-34.44666
Solanum pseudocapsicum,-58.9202812353,-34.4147908659
Solanum pseudocapsicum,-62.7942580112,-37.5540538696
Solanum pseudocapsicum,-56.8122769354,-33.6699242294
Solanum pseudocapsicum,-58.0084599456,-34.6730775336
Solanum pseudocapsicum,-61.092272,-36.1932187
Solanum pseudocapsicum,-58.3157723397,-34.6604969317
Solanum pseudocapsicum,-61.5883333333,-33.6508333333
Solanum pseudocapsicum,-59.27435,-33.97433
Solanum pseudocapsicum,-58.4341612489,-34.7847242864
Solanum pseudocapsicum,-57.422233986,-37.6150766722
Solanum pseudocapsicum,-56.5206009722,-33.3629549722
Solanum pseudocapsicum,-57.3863179327,-35.1283416801
Solanum pseudocapsicum,-59.4292508438,-35.1246130063
Solanum pseudocapsicum,-58.3478322837,-34.8538778644
Solanum pseudocapsicum,-58.614975,-35.5875138889
Solanum pseudocapsicum,-58.1204482679,-35.0542895301
Solanum pseudocapsicum,-58.9473066389,-35.3236139722
Solanum pseudocapsicum,-57.7713023,-35.5199843997
Solanum pseudocapsicum,-59.6388393056,-35.6368976111
Solanum pseudocapsicum,-57.801087,-37.940269
Solanum pseudocapsicum,-65.531595,-28.180306
Solanum pseudocapsicum,-64.959851,-32.456467
Solanum pseudocapsicum,-65.438709,-26.196863
Solanum pseudocapsicum,-64.364008,-31.192145
Solanum pseudocapsicum,-65.782656,-27.825217
Solanum pseudocapsicum,-54.133812,-25.534031
Solanum pseudocapsicum,-66.889586,-29.314628
Solanum pseudocapsicum,-60.606742,-31.611795
Solanum pseudocapsicum,-58.051298,-35.323731
Solanum pseudocapsicum,-60.883797,-31.684103
Solanum pseudocapsicum,-64.4206,-24.093798
Solanum pseudocapsicum,-61.180369,-31.45885
Solanum pseudocapsicum,-58.651622,-33.007553
Solanum pseudocapsicum,-61.924312,-30.343886
Solanum pseudocapsicum,-60.952575,-31.804694
Solanum pseudocapsicum,-54.113476,-26.596153
Solanum pseudocapsicum,-60.238122,-29.341208
Solanum pseudocapsicum,-61.460851,-29.136041
Solanum pseudocapsicum,-58.947545,-27.437962
Solanum pseudocapsicum,-61.324785,-32.325127
Solanum pseudocapsicum,-58.026828,-31.543198
Solanum pseudocapsicum,-60.925917,-34.554266
Solanum pseudocapsicum,-60.708077,-31.585557
Solanum pseudocapsicum,-62.870826,-32.986675
Solanum pseudocapsicum,-64.976837,-31.625713
Solanum pseudocapsicum,-58.883529,-30.622875
Solanum pseudocapsicum,-64.763599,-31.996139
Solanum pseudocapsicum,-65.278602,-26.690719
Solanum pseudocapsicum,-64.599845,-32.055765
Solanum pseudocapsicum,-64.97291,-32.32054
Solanum pseudocapsicum,-58.138875,-34.849343
Solanum pseudocapsicum,-62.346858,-34.346613
Solanum pseudocapsicum,-55.589707,-27.291183
Solanum pseudocapsicum,-61.164993,-31.607544
Solanum pseudocapsicum,-60.600232,-30.78316
Solanum pseudocapsicum,-60.759106,-31.690786
Solanum pseudocapsicum,-57.997085,-31.29325
Solanum pseudocapsicum,-64.473242,-32.085572
Solanum pseudocapsicum,-58.632436,-34.395697
Solanum pseudocapsicum,-60.036823,-32.532366
Solanum pseudocapsicum,-64.43037,-31.11522
Solanum pseudocapsicum,-60.788181,-32.951203
Solanum pseudocapsicum,-58.601549,-33.630145
Solanum pseudocapsicum,-63.926981,-33.088526
Solanum pseudocapsicum,-56.838953,-36.593452
Solanum pseudocapsicum,-61.017493,-31.493947
Solanum pseudocapsicum,-57.980959,-30.817932
Solanum pseudocapsicum,-65.471137,-26.769385
Solanum pseudocapsicum,-61.592572,-31.264317
Solanum pseudocapsicum,-56.744869,-36.476636
Solanum pseudocapsicum,-57.18625,-28.540049
Solanum pseudocapsicum,-60.45137,-29.92113
Solanum pseudocapsicum,-59.09353,-33.086503
Solanum pseudocapsicum,-64.675156,-24.729225
Solanum pseudocapsicum,-64.720838,-22.369594
Solanum pseudocapsicum,-65.406204,-28.328363
Solanum pseudocapsicum,-60.891612,-33.032386
Solanum pseudocapsicum,-65.642026,-28.11817
Solanum pseudocapsicum,-58.232564000000004,-31.875758
Solanum pseudocapsicum,-60.807194,-31.484215
Solanum pseudocapsicum,-60.373325,-33.207211
Solanum pseudocapsicum,-53.964499000000004,-25.853554
Solanum pseudocapsicum,-59.24074,-28.50256
Solanum pseudocapsicum,-61.115025,-31.736837
Solanum pseudocapsicum,-58.959405,-27.330627
Solanum pseudocapsicum,-58.511167,-33.007772
Solanum pseudocapsicum,-59.427252,-28.745177
Solanum pseudocapsicum,-59.725204,-30.39843
Solanum pseudocapsicum,-68.799891,-32.986581
Solanum pseudocapsicum,-62.279447,-38.720562
Solanum pseudocapsicum,-58.535075,-34.354506
Solanum pseudocapsicum,-57.870866,-35.908732
Solanum pseudocapsicum,-66.238879,-33.260515
Solanum pseudocapsicum,-59.952172,-30.58719
Solanum pseudocapsicum,-58.999812,-34.591139
Solanum pseudocapsicum,-58.282385,-34.765102
Solanum pseudocapsicum,-63.643598,-31.892182
Solanum pseudocapsicum,-61.291274,-31.318658
Solanum pseudocapsicum,-59.540975,-34.713131
Solanum pseudocapsicum,-59.078069,-34.388568
Solanum pseudocapsicum,-58.539697,-34.873473
Solanum pseudocapsicum,-60.582432,-33.917412
Solanum pseudocapsicum,-61.036756,-32.236992
Solanum pseudocapsicum,-65.319386,-26.803924
Solanum pseudocapsicum,-64.621428,-32.271416
Solanum pseudocapsicum,-57.855371,-35.022789
Solanum pseudocapsicum,-55.929956,-27.409745
Solanum pseudocapsicum,-58.016308,-34.786036
Solanum pseudocapsicum,-65.311472,-24.166003
Solanum pseudocapsicum,-57.41658,-28.648494
Solanum pseudocapsicum,-60.632721,-32.980808
Solanum pseudocapsicum,-58.707117,-30.870232
Solanum pseudocapsicum,-56.815263,-29.462895
Solanum pseudocapsicum,-58.871405,-34.180805
Solanum pseudocapsicum,-59.256628,-29.338122
Solanum pseudocapsicum,-64.120353,-38.989193
Solanum pseudocapsicum,-57.560051,-37.951629
Solanum pseudocapsicum,-58.481335,-34.595322
Solanum pseudocapsicum,-66.001275,-33.117907
Solanum pseudocapsicum,-60.157642,-33.437585
Solanum pseudocapsicum,-58.741342,-34.612234
Cortaderia selloana,-62.2560651984,-38.0559542288
Cortaderia selloana,-57.0242929944,-36.5038798586
Cortaderia selloana,-59.1063656588,-34.3417290284
Cortaderia selloana,-58.0797258997,-34.8693262
Cortaderia selloana,-58.945546695,-35.2933973282
Cortaderia selloana,-56.4228584804,-34.7657243907
Cortaderia selloana,-58.3158277778,-34.6857361111
Cortaderia selloana,-59.7880889722,-35.700394
Cortaderia selloana,-58.8138250262,-34.4667149255
Cortaderia selloana,-58.4368166667,-34.77934
Cortaderia selloana,-58.353026879,-34.9272818304
Cortaderia selloana,-57.5424988568,-37.9737403452
Cortaderia selloana,-58.7981393217,-34.3060085126
Cortaderia selloana,-58.8349430636,-34.8384521424
Cortaderia selloana,-59.2931391299,-34.986793556
Cortaderia selloana,-62.5038815929,-36.7841771877
Cortaderia selloana,-58.0702885,-35.5476155
Cortaderia selloana,-60.2808569722,-38.3561819722
Cortaderia selloana,-58.8413107,-34.6832786
Cortaderia selloana,-58.8196033333,-35.470385
Cortaderia selloana,-59.889126997,-33.5539040369
Cortaderia selloana,-60.33378361,-35.08207016
Cortaderia selloana,-57.865884,-34.324871
Cortaderia selloana,-56.7061143368,-34.3382121666
Cortaderia selloana,-58.9354607163,-34.3211486514
Cortaderia selloana,-62.9927458987,-35.2247538819
Cortaderia selloana,-60.1070893183,-34.9040065836
Cortaderia selloana,-58.36355064,-33.94889924
Cortaderia selloana,-60.1027518,-38.8506477
Cortaderia selloana,-58.928744644,-34.1160851893
Cortaderia selloana,-57.3795678377,-35.7436658657
Cortaderia selloana,-57.3913613063,-35.1324580077
Cortaderia selloana,-57.9968232586,-35.6152433882
Cortaderia selloana,-57.0999487946,-37.1897834725
Cortaderia selloana,-57.8449199349,-34.457960518
Cortaderia selloana,-60.6429642,-38.9371705
Cortaderia selloana,-57.4367116667,-37.7385366667
Cortaderia selloana,-57.2833858313,-35.2420890682
Cortaderia selloana,-58.9171899483,-34.4163027311
Cortaderia selloana,-56.9080733538,-34.6261358126
Cortaderia selloana,-62.2776333333,-33.7736016667
Cortaderia selloana,-62.1219247486,-33.5853570839
Cortaderia selloana,-62.8934666667,-33.4083016667
Cortaderia selloana,-62.6068029722,-36.5622839722
Cortaderia selloana,-57.474391343,-38.1753781607
Cortaderia selloana,-59.0373489722,-36.251947
Cortaderia selloana,-56.8607058004,-37.1145576428
Cortaderia selloana,-70.058434,-38.913402
Cortaderia selloana,-61.180018,-33.063
Cortaderia selloana,-66.435559,-38.741602
Cortaderia selloana,-58.973398,-38.658711
Cortaderia selloana,-62.751174,-36.013118
Cortaderia selloana,-69.764841,-32.84203
Cortaderia selloana,-58.446513,-34.682486
Cortaderia selloana,-69.260007,-33.60851
Cortaderia selloana,-64.96347,-32.455596
Cortaderia selloana,-61.943632,-33.702167
Cortaderia selloana,-60.627261,-32.119089
Cortaderia selloana,-58.352694,-34.598088
Cortaderia selloana,-60.261413,-30.406518
Cortaderia selloana,-64.283274,-31.254532
Cortaderia selloana,-58.468925,-34.513514
Cortaderia selloana,-66.232365,-33.279045000000004
Cortaderia selloana,-58.497196,-35.765744
