partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Lobería,Buenos Aires,0.2444,0.487,40.34,Jacaranda mimosifolia,107
Daireaux,Buenos Aires,0.2398,0.535,0,Jacaranda mimosifolia,108
Coronel Dorrego,Buenos Aires,0.2256,0.439,70.83,Jacaranda mimosifolia,109
Roque Pérez,Buenos Aires,0.2238,0.486,0,Jacaranda mimosifolia,110
Trenque Lauquen,Buenos Aires,0.2225,0.716,84.09,Jacaranda mimosifolia,111
Coronel Suárez,Buenos Aires,0.2149,0.448,0,Jacaranda mimosifolia,112
Tornquist,Buenos Aires,0.2146,0.53,0,Jacaranda mimosifolia,113
General Lavalle,Buenos Aires,0.1984,0.586,35.97,Jacaranda mimosifolia,114
Tres Arroyos,Buenos Aires,0.1966,0.475,103.72,Jacaranda mimosifolia,115
La Costa,Buenos Aires,0.1825,0.545,97.84,Jacaranda mimosifolia,116
Balcarce,Buenos Aires,0.1812,0.368,0,Jacaranda mimosifolia,117
General Alvarado,Buenos Aires,0.1661,0.266,55.93,Jacaranda mimosifolia,118
Saavedra,Buenos Aires,0.1441,0.379,0,Jacaranda mimosifolia,119
Puán,Buenos Aires,0.1179,0.379,0,Jacaranda mimosifolia,120
Monte Hermoso,Buenos Aires,0.1146,0.207,32.73,Jacaranda mimosifolia,121
Pellegrini,Buenos Aires,0.1121,0.27,0,Jacaranda mimosifolia,122
Guaminí,Buenos Aires,0.0943,0.387,0,Jacaranda mimosifolia,123
Adolfo Alsina,Buenos Aires,0.0929,0.511,0,Jacaranda mimosifolia,124
Villarino,Buenos Aires,0.0856,0.433,727.24,Jacaranda mimosifolia,125
Patagones,Buenos Aires,0.0848,0.35,662.44,Jacaranda mimosifolia,126
Tres Lomas,Buenos Aires,0.0848,0.196,0,Jacaranda mimosifolia,127
Salliqueló,Buenos Aires,0.0753,0.125,0,Jacaranda mimosifolia,128
