partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
San Cayetano,Buenos Aires,0.3341,0.429,42.22,Solanum pseudocapsicum,105
Adolfo Gonzales Chaves,Buenos Aires,0.3242,0.477,0,Solanum pseudocapsicum,106
Tres Arroyos,Buenos Aires,0.3207,0.502,103.72,Solanum pseudocapsicum,107
Balcarce,Buenos Aires,0.2994,0.735,58.33,Solanum pseudocapsicum,108
Monte Hermoso,Buenos Aires,0.2911,0.398,32.73,Solanum pseudocapsicum,109
Coronel Dorrego,Buenos Aires,0.2746,0.457,70.83,Solanum pseudocapsicum,110
Rivadavia,Buenos Aires,0.2728,0.561,0,Solanum pseudocapsicum,111
Coronel Pringles,Buenos Aires,0.2651,0.598,0,Solanum pseudocapsicum,112
General La Madrid,Buenos Aires,0.2621,0.455,0,Solanum pseudocapsicum,113
Coronel de Marina Leonardo Rosal,Buenos Aires,0.2456,0.486,82.88,Solanum pseudocapsicum,114
Trenque Lauquen,Buenos Aires,0.2417,0.799,160.51,Solanum pseudocapsicum,115
Daireaux,Buenos Aires,0.239,0.614,6.19,Solanum pseudocapsicum,116
Bahía Blanca,Buenos Aires,0.1676,0.524,42.88,Solanum pseudocapsicum,117
Coronel Suárez,Buenos Aires,0.1663,0.522,0,Solanum pseudocapsicum,118
Tornquist,Buenos Aires,0.166,0.594,0,Solanum pseudocapsicum,119
Guaminí,Buenos Aires,0.1597,0.619,6.87,Solanum pseudocapsicum,120
Pellegrini,Buenos Aires,0.1225,0.221,0,Solanum pseudocapsicum,121
Saavedra,Buenos Aires,0.1137,0.496,0,Solanum pseudocapsicum,122
Patagones,Buenos Aires,0.1011,0.36,662.44,Solanum pseudocapsicum,123
Tres Lomas,Buenos Aires,0.0997,0.187,0,Solanum pseudocapsicum,124
Villarino,Buenos Aires,0.0954,0.442,727.24,Solanum pseudocapsicum,125
Salliqueló,Buenos Aires,0.0782,0.14,0,Solanum pseudocapsicum,126
Puán,Buenos Aires,0.0778,0.222,0,Solanum pseudocapsicum,127
Adolfo Alsina,Buenos Aires,0.0776,0.44,0,Solanum pseudocapsicum,128
